Header information
 
Source: G339.884-1.2
RA:   16 52  4.67        DEC: -46  8 34.22   (J2000)
OBS. DATE: 20131119          Time of record:   1/  6  7 32.9
No. channels:  1024           First channel plotted     1
Bw (kHz):      0.977
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0000
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
   191    1  I           6669.1855     -7.36270          44.9214          0.00000
   192    1  I           6669.1865     -7.40660          44.9207          0.00000
   193    1  I           6669.1875     -7.45050          44.9765          0.00000
   194    1  I           6669.1885     -7.49440          45.0624          0.00000
   195    1  I           6669.1895     -7.53830          45.1344          0.00000
   196    1  I           6669.1904     -7.58220          45.1633          0.00000
   197    1  I           6669.1914     -7.62610          45.1751          0.00000
   198    1  I           6669.1924     -7.66999          45.1900          0.00000
   199    1  I           6669.1934     -7.71389          45.1756          0.00000
   200    1  I           6669.1943     -7.75779          45.1419          0.00000
   201    1  I           6669.1953     -7.80169          45.0932          0.00000
   202    1  I           6669.1963     -7.84559          45.0238          0.00000
   203    1  I           6669.1973     -7.88949          45.0093          0.00000
   204    1  I           6669.1982     -7.93339          44.9581          0.00000
   205    1  I           6669.1992     -7.97729          44.9895          0.00000
   206    1  I           6669.2002     -8.02119          44.9219          0.00000
   207    1  I           6669.2012     -8.06509          44.9337          0.00000
   208    1  I           6669.2021     -8.10899          44.9199          0.00000
   209    1  I           6669.2031     -8.15289          44.9192          0.00000
   210    1  I           6669.2041     -8.19679          44.9034          0.00000
   211    1  I           6669.2051     -8.24069          44.9318          0.00000
   212    1  I           6669.2061     -8.28459          44.9331          0.00000
   213    1  I           6669.2070     -8.32849          44.9152          0.00000
   214    1  I           6669.2080     -8.37239          44.9540          0.00000
   215    1  I           6669.2090     -8.41628          44.9512          0.00000
   216    1  I           6669.2100     -8.46018          44.9116          0.00000
   217    1  I           6669.2109     -8.50408          44.9285          0.00000
   218    1  I           6669.2119     -8.54798          44.8954          0.00000
   219    1  I           6669.2129     -8.59188          44.8971          0.00000
   220    1  I           6669.2139     -8.63578          44.9005          0.00000
   221    1  I           6669.2148     -8.67968          44.9067          0.00000
   222    1  I           6669.2158     -8.72358          44.8941          0.00000
   223    1  I           6669.2168     -8.76748          44.8796          0.00000
   224    1  I           6669.2178     -8.81138          44.8847          0.00000
   225    1  I           6669.2188     -8.85528          44.8879          0.00000
   226    1  I           6669.2197     -8.89918          44.8615          0.00000
   227    1  I           6669.2207     -8.94308          44.8955          0.00000
   228    1  I           6669.2217     -8.98698          44.8801          0.00000
   229    1  I           6669.2227     -9.03088          44.8824          0.00000
   230    1  I           6669.2236     -9.07478          44.8678          0.00000
   231    1  I           6669.2246     -9.11868          44.8671          0.00000
   232    1  I           6669.2256     -9.16257          44.8587          0.00000
   233    1  I           6669.2266     -9.20647          44.8624          0.00000
   234    1  I           6669.2275     -9.25037          44.8927          0.00000
   235    1  I           6669.2285     -9.29427          44.8759          0.00000
   236    1  I           6669.2295     -9.33817          44.8688          0.00000
   237    1  I           6669.2305     -9.38207          44.8846          0.00000
   238    1  I           6669.2314     -9.42597          44.8566          0.00000
   239    1  I           6669.2324     -9.46987          44.8718          0.00000
   240    1  I           6669.2334     -9.51377          44.8598          0.00000
   241    1  I           6669.2344     -9.55767          44.8676          0.00000
   242    1  I           6669.2354     -9.60157          44.8176          0.00000
   243    1  I           6669.2363     -9.64547          44.8424          0.00000
   244    1  I           6669.2373     -9.68937          44.8242          0.00000
   245    1  I           6669.2383     -9.73327          44.8304          0.00000
   246    1  I           6669.2393     -9.77717          44.8192          0.00000
   247    1  I           6669.2402     -9.82106          44.8295          0.00000
   248    1  I           6669.2412     -9.86496          44.8228          0.00000
   249    1  I           6669.2422     -9.90886          44.8258          0.00000
   250    1  I           6669.2432     -9.95276          44.8411          0.00000
   251    1  I           6669.2441     -9.99666          44.8441          0.00000
   252    1  I           6669.2451     -10.0406          44.8267          0.00000
   253    1  I           6669.2461     -10.0845          44.8304          0.00000
   254    1  I           6669.2471     -10.1284          44.8285          0.00000
   255    1  I           6669.2480     -10.1723          44.8325          0.00000
   256    1  I           6669.2490     -10.2162          44.8129          0.00000
   257    1  I           6669.2500     -10.2601          44.8201          0.00000
   258    1  I           6669.2510     -10.3040          44.8313          0.00000
   259    1  I           6669.2520     -10.3479          44.8222          0.00000
   260    1  I           6669.2529     -10.3918          44.8160          0.00000
   261    1  I           6669.2539     -10.4357          44.7979          0.00000
   262    1  I           6669.2549     -10.4796          44.8016          0.00000
   263    1  I           6669.2559     -10.5235          44.8197          0.00000
   264    1  I           6669.2568     -10.5674          44.8199          0.00000
   265    1  I           6669.2578     -10.6113          44.8259          0.00000
   266    1  I           6669.2588     -10.6552          44.8139          0.00000
   267    1  I           6669.2598     -10.6991          44.8382          0.00000
   268    1  I           6669.2607     -10.7430          44.8037          0.00000
   269    1  I           6669.2617     -10.7869          44.8101          0.00000
   270    1  I           6669.2627     -10.8308          44.8274          0.00000
   271    1  I           6669.2637     -10.8747          44.8240          0.00000
   272    1  I           6669.2646     -10.9186          44.7986          0.00000
   273    1  I           6669.2656     -10.9625          44.8205          0.00000
   274    1  I           6669.2666     -11.0063          44.8052          0.00000
   275    1  I           6669.2676     -11.0502          44.8300          0.00000
   276    1  I           6669.2686     -11.0941          44.8213          0.00000
   277    1  I           6669.2695     -11.1380          44.8215          0.00000
   278    1  I           6669.2705     -11.1819          44.8213          0.00000
   279    1  I           6669.2715     -11.2258          44.8280          0.00000
   280    1  I           6669.2725     -11.2697          44.8333          0.00000
   281    1  I           6669.2734     -11.3136          44.8396          0.00000
   282    1  I           6669.2744     -11.3575          44.8422          0.00000
   283    1  I           6669.2754     -11.4014          44.8521          0.00000
   284    1  I           6669.2764     -11.4453          44.8634          0.00000
   285    1  I           6669.2773     -11.4892          44.8593          0.00000
   286    1  I           6669.2783     -11.5331          44.8694          0.00000
   287    1  I           6669.2793     -11.5770          44.8771          0.00000
   288    1  I           6669.2803     -11.6209          44.8985          0.00000
   289    1  I           6669.2812     -11.6648          44.8934          0.00000
   290    1  I           6669.2822     -11.7087          44.8833          0.00000
   291    1  I           6669.2832     -11.7526          44.9063          0.00000
   292    1  I           6669.2842     -11.7965          44.9122          0.00000
   293    1  I           6669.2852     -11.8404          44.9254          0.00000
   294    1  I           6669.2861     -11.8843          44.9125          0.00000
   295    1  I           6669.2871     -11.9282          44.9424          0.00000
   296    1  I           6669.2881     -11.9721          44.9552          0.00000
   297    1  I           6669.2891     -12.0160          44.9668          0.00000
   298    1  I           6669.2900     -12.0599          45.0075          0.00000
   299    1  I           6669.2910     -12.1038          45.0593          0.00000
   300    1  I           6669.2920     -12.1477          45.1294          0.00000
   301    1  I           6669.2930     -12.1916          45.2443          0.00000
   302    1  I           6669.2939     -12.2355          45.3939          0.00000
   303    1  I           6669.2949     -12.2794          45.5440          0.00000
   304    1  I           6669.2959     -12.3233          45.7275          0.00000
   305    1  I           6669.2969     -12.3672          45.9743          0.00000
   306    1  I           6669.2979     -12.4111          46.2382          0.00000
   307    1  I           6669.2988     -12.4550          46.5748          0.00000
   308    1  I           6669.2998     -12.4989          47.0902          0.00000
   309    1  I           6669.3008     -12.5428          47.7412          0.00000
   310    1  I           6669.3018     -12.5867          48.7146          0.00000
   311    1  I           6669.3027     -12.6306          49.9801          0.00000
   312    1  I           6669.3037     -12.6745          51.4079          0.00000
   313    1  I           6669.3047     -12.7184          52.8835          0.00000
   314    1  I           6669.3057     -12.7623          54.0685          0.00000
   315    1  I           6669.3066     -12.8062          54.9061          0.00000
   316    1  I           6669.3076     -12.8501          55.4526          0.00000
   317    1  I           6669.3086     -12.8940          56.0486          0.00000
   318    1  I           6669.3096     -12.9379          56.8188          0.00000
   319    1  I           6669.3105     -12.9818          57.9161          0.00000
   320    1  I           6669.3115     -13.0257          59.4715          0.00000
   321    1  I           6669.3125     -13.0696          61.6671          0.00000
   322    1  I           6669.3135     -13.1135          65.0406          0.00000
   323    1  I           6669.3145     -13.1574          70.9312          0.00000
   324    1  I           6669.3154     -13.2013          81.0187          0.00000
   325    1  I           6669.3164     -13.2452          97.0499          0.00000
   326    1  I           6669.3174     -13.2891          119.837          0.00000
   327    1  I           6669.3184     -13.3330          149.246          0.00000
   328    1  I           6669.3193     -13.3769          183.571          0.00000
   329    1  I           6669.3203     -13.4208          221.494          0.00000
   330    1  I           6669.3213     -13.4647          264.121          0.00000
   331    1  I           6669.3223     -13.5086          314.394          0.00000
   332    1  I           6669.3232     -13.5525          374.687          0.00000
   333    1  I           6669.3242     -13.5964          442.647          0.00000
   334    1  I           6669.3252     -13.6403          517.003          0.00000
   335    1  I           6669.3262     -13.6842          595.178          0.00000
   336    1  I           6669.3271     -13.7281          665.248          0.00000
   337    1  I           6669.3281     -13.7720          707.091          0.00000
   338    1  I           6669.3291     -13.8159          706.937          0.00000
   339    1  I           6669.3301     -13.8598          667.216          0.00000
   340    1  I           6669.3311     -13.9037          605.432          0.00000
   341    1  I           6669.3320     -13.9476          534.267          0.00000
   342    1  I           6669.3330     -13.9915          462.284          0.00000
   343    1  I           6669.3340     -14.0354          400.909          0.00000
   344    1  I           6669.3350     -14.0793          358.109          0.00000
   345    1  I           6669.3359     -14.1232          329.270          0.00000
   346    1  I           6669.3369     -14.1671          305.559          0.00000
   347    1  I           6669.3379     -14.2110          289.056          0.00000
   348    1  I           6669.3389     -14.2549          283.095          0.00000
   349    1  I           6669.3398     -14.2988          286.288          0.00000
   350    1  I           6669.3408     -14.3427          293.940          0.00000
   351    1  I           6669.3418     -14.3866          302.612          0.00000
   352    1  I           6669.3428     -14.4305          308.340          0.00000
   353    1  I           6669.3438     -14.4744          308.923          0.00000
   354    1  I           6669.3447     -14.5183          302.193          0.00000
   355    1  I           6669.3457     -14.5622          288.381          0.00000
   356    1  I           6669.3467     -14.6061          270.401          0.00000
   357    1  I           6669.3477     -14.6500          251.441          0.00000
   358    1  I           6669.3486     -14.6939          237.642          0.00000
   359    1  I           6669.3496     -14.7378          234.118          0.00000
   360    1  I           6669.3506     -14.7817          244.508          0.00000
   361    1  I           6669.3516     -14.8256          267.221          0.00000
   362    1  I           6669.3525     -14.8695          297.313          0.00000
   363    1  I           6669.3535     -14.9134          329.580          0.00000
   364    1  I           6669.3545     -14.9573          358.520          0.00000
   365    1  I           6669.3555     -15.0012          379.740          0.00000
   366    1  I           6669.3564     -15.0451          389.901          0.00000
   367    1  I           6669.3574     -15.0890          389.188          0.00000
   368    1  I           6669.3584     -15.1329          377.271          0.00000
   369    1  I           6669.3594     -15.1768          355.590          0.00000
   370    1  I           6669.3604     -15.2207          325.771          0.00000
   371    1  I           6669.3613     -15.2646          291.814          0.00000
   372    1  I           6669.3623     -15.3085          257.414          0.00000
   373    1  I           6669.3633     -15.3524          226.605          0.00000
   374    1  I           6669.3643     -15.3963          201.292          0.00000
   375    1  I           6669.3652     -15.4402          182.405          0.00000
   376    1  I           6669.3662     -15.4841          170.533          0.00000
   377    1  I           6669.3672     -15.5280          166.487          0.00000
   378    1  I           6669.3682     -15.5719          171.830          0.00000
   379    1  I           6669.3691     -15.6158          188.339          0.00000
   380    1  I           6669.3701     -15.6597          215.379          0.00000
   381    1  I           6669.3711     -15.7036          248.787          0.00000
   382    1  I           6669.3721     -15.7475          283.058          0.00000
   383    1  I           6669.3730     -15.7914          312.158          0.00000
   384    1  I           6669.3740     -15.8353          331.957          0.00000
   385    1  I           6669.3750     -15.8792          340.944          0.00000
   386    1  I           6669.3760     -15.9231          341.281          0.00000
   387    1  I           6669.3770     -15.9670          334.990          0.00000
   388    1  I           6669.3779     -16.0109          322.282          0.00000
   389    1  I           6669.3789     -16.0548          304.431          0.00000
   390    1  I           6669.3799     -16.0987          283.193          0.00000
   391    1  I           6669.3809     -16.1426          261.196          0.00000
   392    1  I           6669.3818     -16.1865          239.498          0.00000
   393    1  I           6669.3828     -16.2304          219.361          0.00000
