Header information
 
Source: G305.200+0.0
RA:   13 11 16.89        DEC: -62 45 54.99   (J2000)
OBS. DATE: 20130318          Time of record:   0/ 14 25  0.2
No. channels:   281           First channel plotted  1100
Bw (kHz):     10.067
Rest freq. (MHz) :    6668.5195      Av. weight :      38.1274
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
  1295    1  I           6682.0273     -565.623          1.01397          0.00000
  1296    1  I           6682.0374     -566.075          1.01787          0.00000
  1297    1  I           6682.0474     -566.528          1.01975          0.00000
  1298    1  I           6682.0575     -566.980          1.01972          0.00000
  1299    1  I           6682.0676     -567.433          1.01695          0.00000
  1300    1  I           6682.0776     -567.885          1.01375          0.00000
  1301    1  I           6682.0877     -568.338          1.01034          0.00000
  1302    1  I           6682.0978     -568.791          1.00760          0.00000
  1303    1  I           6682.1078     -569.243          1.00573          0.00000
  1304    1  I           6682.1179     -569.696          1.00368          0.00000
  1305    1  I           6682.1280     -570.148          1.00182          0.00000
  1306    1  I           6682.1380     -570.601         0.999579          0.00000
  1307    1  I           6682.1481     -571.053         0.997387          0.00000
  1308    1  I           6682.1582     -571.506         0.995687          0.00000
  1309    1  I           6682.1683     -571.958         0.995207          0.00000
  1310    1  I           6682.1783     -572.411         0.994907          0.00000
  1311    1  I           6682.1884     -572.863         0.994783          0.00000
  1312    1  I           6682.1985     -573.316         0.994664          0.00000
  1313    1  I           6682.2085     -573.768         0.995251          0.00000
  1314    1  I           6682.2186     -574.221         0.995121          0.00000
  1315    1  I           6682.2287     -574.674         0.996010          0.00000
  1316    1  I           6682.2387     -575.126         0.995610          0.00000
  1317    1  I           6682.2488     -575.579         0.995623          0.00000
  1318    1  I           6682.2589     -576.031         0.995495          0.00000
  1319    1  I           6682.2689     -576.484         0.995204          0.00000
  1320    1  I           6682.2790     -576.936         0.995660          0.00000
  1321    1  I           6682.2891     -577.389         0.996171          0.00000
  1322    1  I           6682.2991     -577.841         0.996332          0.00000
  1323    1  I           6682.3092     -578.294         0.997457          0.00000
  1324    1  I           6682.3193     -578.746         0.998184          0.00000
  1325    1  I           6682.3293     -579.199         0.998618          0.00000
  1326    1  I           6682.3394     -579.651         0.999393          0.00000
  1327    1  I           6682.3495     -580.104          1.00010          0.00000
  1328    1  I           6682.3595     -580.556          1.00044          0.00000
  1329    1  I           6682.3696     -581.009          1.00045          0.00000
  1330    1  I           6682.3797     -581.462          1.00065          0.00000
  1331    1  I           6682.3897     -581.914         0.999968          0.00000
  1332    1  I           6682.3998     -582.367          1.00005          0.00000
  1333    1  I           6682.4099     -582.819         0.998808          0.00000
  1334    1  I           6682.4199     -583.272         0.998604          0.00000
  1335    1  I           6682.4300     -583.724         0.997066          0.00000
  1336    1  I           6682.4401     -584.177         0.995840          0.00000
  1337    1  I           6682.4501     -584.629         0.994663          0.00000
  1338    1  I           6682.4602     -585.082         0.993074          0.00000
  1339    1  I           6682.4703     -585.534         0.991941          0.00000
  1340    1  I           6682.4803     -585.987         0.991416          0.00000
  1341    1  I           6682.4904     -586.439         0.991355          0.00000
  1342    1  I           6682.5005     -586.892         0.991482          0.00000
  1343    1  I           6682.5105     -587.344         0.991022          0.00000
  1344    1  I           6682.5206     -587.797         0.991240          0.00000
  1345    1  I           6682.5307     -588.250         0.991553          0.00000
  1346    1  I           6682.5407     -588.702         0.991566          0.00000
  1347    1  I           6682.5508     -589.155         0.991891          0.00000
  1348    1  I           6682.5609     -589.607         0.991428          0.00000
  1349    1  I           6682.5709     -590.060         0.992315          0.00000
  1350    1  I           6682.5810     -590.512         0.992054          0.00000
  1351    1  I           6682.5911     -590.965         0.992509          0.00000
  1352    1  I           6682.6012     -591.417         0.992101          0.00000
  1353    1  I           6682.6112     -591.870         0.991761          0.00000
  1354    1  I           6682.6213     -592.322         0.991727          0.00000
  1355    1  I           6682.6314     -592.775         0.991019          0.00000
  1356    1  I           6682.6414     -593.227         0.990997          0.00000
  1357    1  I           6682.6515     -593.680         0.991016          0.00000
  1358    1  I           6682.6616     -594.133         0.990783          0.00000
  1359    1  I           6682.6716     -594.585         0.990547          0.00000
  1360    1  I           6682.6817     -595.038         0.990062          0.00000
  1361    1  I           6682.6918     -595.490         0.990647          0.00000
  1362    1  I           6682.7018     -595.943         0.990712          0.00000
  1363    1  I           6682.7119     -596.395         0.990952          0.00000
  1364    1  I           6682.7220     -596.848         0.990219          0.00000
  1365    1  I           6682.7320     -597.300         0.989753          0.00000
  1366    1  I           6682.7421     -597.753         0.990180          0.00000
  1367    1  I           6682.7522     -598.205         0.989948          0.00000
  1368    1  I           6682.7622     -598.658         0.990640          0.00000
  1369    1  I           6682.7723     -599.110         0.990438          0.00000
  1370    1  I           6682.7824     -599.563         0.990121          0.00000
  1371    1  I           6682.7924     -600.015         0.990024          0.00000
  1372    1  I           6682.8025     -600.468         0.990150          0.00000
  1373    1  I           6682.8126     -600.921         0.990224          0.00000
  1374    1  I           6682.8226     -601.373         0.990147          0.00000
  1375    1  I           6682.8327     -601.826         0.990753          0.00000
  1376    1  I           6682.8428     -602.278         0.990764          0.00000
  1377    1  I           6682.8528     -602.731         0.991012          0.00000
  1378    1  I           6682.8629     -603.183         0.991665          0.00000
  1379    1  I           6682.8730     -603.636         0.991508          0.00000
  1380    1  I           6682.8830     -604.088         0.991191          0.00000
