       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 1   *****
 
   114   1328.000       13.641      -380.329       255.730        1.011        0.418        0.383        1.062     -477.691
   115   1328.000       11.674      -612.367       177.457        1.018        0.486        0.309        2.236     -477.691
   116   1329.000      109.677      -488.618       214.393        1.201        0.038        0.035        2.051     -478.069
   117   1329.000       17.919      -381.900       257.626        1.168        0.286        0.255        1.112     -478.069
   118   1329.000       15.321      -494.828       222.104        1.194        0.325        0.235        1.896     -478.069
   119   1329.000       13.686      -476.622       209.327        1.168        0.345        0.309        2.060     -478.069
   120   1329.000        7.998      -611.253       177.013        1.147        0.848        0.560        2.088     -478.069
   121   1330.000      115.588      -488.448       214.328        1.335        0.041        0.038        2.645     -478.446
   122   1330.000       21.605      -381.386       257.912        1.319        0.250        0.217        1.239     -478.446
   123   1330.000       18.122      -475.885       209.335        1.302        0.296        0.267        2.712     -478.446
   124   1330.000       17.140      -493.879       222.802        1.336        0.330        0.210        2.311     -478.446
   125   1330.000       14.916      -613.087       206.938        1.355        0.326        0.309        1.588     -478.446
   126   1331.000      114.887      -488.069       214.137        1.343        0.041        0.037        3.000     -478.824
   127   1331.000       18.364      -380.822       257.291        1.312        0.327        0.278        1.302     -478.824
   128   1331.000       18.282      -475.581       209.673        1.314        0.310        0.239        2.658     -478.824
   129   1331.000       11.536       614.028       429.942        1.363        0.531        0.305        1.491     -478.824
   130   1331.000        9.934      -491.792       222.719        1.328        0.749        0.302        2.093     -478.824
   131   1332.000      102.720      -487.607       213.968        1.231        0.044        0.039        4.067     -479.202
   132   1332.000       15.515      -379.846       256.622        1.213        0.355        0.321        1.270     -479.202
   133   1332.000       15.186      -475.829       209.350        1.196        0.393        0.273        2.910     -479.202
   134   1332.000       13.053      -612.772       206.504        1.231        0.427        0.329        1.549     -479.202
   135   1332.000        9.077      -465.147       200.996        1.224        0.601        0.413        1.851     -479.202
   136   1333.000       87.210      -487.363       213.751        0.913        0.039        0.034        3.989     -479.579
   137   1333.000       13.410      -378.746       255.909        0.907        0.277        0.257        1.089     -479.579
   138   1333.000       11.695      -465.515       202.085        0.880        0.464        0.371        1.155     -479.579
   139   1333.000       10.016      -612.015       206.306        0.938        0.342        0.292        1.051     -479.579
   140   1333.000        9.139      -477.141       210.754        0.891        0.473        0.335        2.932     -479.579
   141   1334.000       72.030      -487.482       213.380        0.666        0.035        0.030        2.994     -479.957
   142   1334.000       10.079      -464.774       201.248        0.646        0.386        0.290        1.317     -479.957
   143   1334.000        9.763      -377.674       254.900        0.664        0.259        0.253        0.867     -479.957
   144   1335.000       58.082      -487.738       213.209        0.434        0.027        0.023        1.971     -480.335
   145   1336.000       44.316      -487.921       212.948        0.230        0.018        0.016        1.087     -480.712
   146   1337.000       32.674      -488.097       212.995        0.156        0.016        0.014        0.532     -481.090
   147   1337.000       11.089       -71.527        30.827        0.157        0.041        0.037        0.136     -481.090
   148   1338.000       22.407      -488.322       212.994        0.126        0.019        0.017        0.256     -481.468
   149   1338.000       11.499       -71.425        30.820        0.127        0.033        0.030        0.114     -481.468
   150   1339.000       13.564      -488.605       213.063        0.127        0.031        0.028        0.267     -481.845
   151   1339.000       10.356       -71.389        30.809        0.128        0.036        0.034        0.137     -481.845
